index,content,token
99,And there's a cop on his knees about to shoot the guy standing in front of a gas station.,89
100,There's gas pumps.,18
101,"I mean, I mean, maybe he felt like they wouldn't shoot at him because the gas tanks were right behind him.",106
102,The pumps were right behind him.,32
103,But why would they leave that out?,34
104,Guy with gun in gun fight with cops dies is the right title.,60
105,Not Hispanic man gunned down by cops.,37
106,They're literally trying to incite anger and violence.,54
107,They know that you read that and you say Hispanic man shot by cops like these motherfuckers.,92
108,They're murderers.,18
109,They won't stop.,16
110,And they leave out this picture of this man with a gun pointing it.,67
111,You're looking at me like I'm going to say some kind of really profound answer.,79
112,I got nothing for you because because you're exactly right.,59
113,What is it?,11
114,What did they set up that headline for?,39
115,It's an outrage people.,23
116,"Anyone that actually opens it up in regions would actually probably say something like, hmm, it feels like the cops did a good job on that one and killed a bad guy before he blew up a gas station and he killed a bunch of innocent people.",237
117,But that's obviously not the thing.,35
118,"I mean, think of you trying to write a headline the other way of how these heroic cops face man with gun eliminate him before he can cause terror in this neighborhood.",167
119,"That would be a nice headline to read, but you're not going to see it.",70
120,You're not going to do that.,28
121,Not today.,10
122,Because it's not going to drive enough people crazy.,52
123,"Today, if your wife tweets all lives matter, you can get fired.",63
124,"You just, you just need to be you anymore.",42
125,Yeah.,5
126,Yeah.,5
127,All lives matter.,17
128,Just imagine a time we're saying all lives matter is so controversial that you can get fired.,93
129,Didn't that happen to a soccer player or something?,51
130,Yes.,4
131,A soccer player's wife tweeted something like that.,51
132,Yeah.,5
133,"The guy who runs the Kings or the guy who's the commentator for the Kings, they fired him.",90
134,"You know, and then this is a lot of it is this, right?",54
135,"So people are feeling a certain way and they're not, they're not feel like this girl that wrote all lives matter.",113
136,Do you think that was her clandestine way of showing that she's all about white pride?,86
137,You know what I mean?,21
138,No.,3
139,"She was thinking, hey, everyone matters.",40
140,She's probably having some nice thoughts.,41
141,"You know, she's, but then all of a sudden, no, this chick is evil, right?",73
142,They're doing this.,19
143,And I think there's a lot of that.,34
144,I think there's a lot of people that I think most people are pretty sane.,73
145,I think most people are pretty reasonable.,42
146,"I think, you know, anybody looking at the George Floyd case is like, yeah, that's completely wrong.",99
147,That's disgusting.,18
148,It's horrible.,14
149,Tain is to watch.,17
150,I haven't heard anyone say anything other than that.,52
151,"So how are we just getting so completely divided on this whole thing and start attacking people, start attacking each other?",124
152,"It's over, over absolutely everything.",38
153,That's a good point because this is literally a case where no one is saying there's nothing wrong with that cop did.,116
154,No one.,7
155,No one.,7
156,Zero people.,12
157,Zero people.,12
158,"But yet, everybody still at each other's throats.",49
159,"Zero people have, have stuck up that guy in any way, shape or form.",67
160,"Even law enforcement, no law enforcement people saying you got to understand this is how you control a man.",107
161,"You got a lien on his neck for about eight minutes, 40, 45 seconds, 46 seconds.",79
162,No one saying that.,19
163,"And unfortunately, what you know what they're saying?",53
164,"They're saying, defund the police.",34
165,"They're saying no more chokeholds, right?",41
166,Which is crazy.,15
167,It's crazy.,11
168,Yeah.,5
169,"If you want to get someone to be under control and you can't choke them, you know what you have to do?",102
170,You have to hit them in the head with a baton.,46
171,Yeah.,5
172,Seven times.,12
173,"You got a risk given them brain damage, permanently injuring them.",66
174,"If people know what they're doing, I mean, obviously, if people know what they're doing, we'll put a chokehold.",111
175,They'll wake up.,16
176,They'll be cuffed.,18
177,We're all good.,15
178,"Yeah, obviously.",16
179,"But, you know, it's the people that are doing it wrong is the problem.",70
180,"The people that shouldn't be doing it in the first place, it's untrained people.",80
181,"But if you're a cop and you're a fight for your life and you can't use chokeholds, it's fucking crazy.",102
182,It's insane.,12
183,You're going to get shot and killed or somebody else is going to get shot and killed.,85
184,Someone's going to take your gun.,33
185,Yeah.,5
186,"And the idea of defund the police and I understand the premise, okay?",69
187,"And this is once again where many people that say defund the police, they don't mean, hey, just get rid of the police.",118
188,"Of course, there's a fraction of people that are saying defund the police means we don't want any more police anymore.",118
189,There's a portion of people saying that.,40
190,"There's some people that are saying, well, if we defund the police, we can relocate some of that money and we can do better schools and we can put money into the infrastructure inside these neighborhoods.",204
191,But here's the problem.,23
192,You know what the police need more than anything else?,54
193,They need money for training.,29
194,"And the way the police departments are set up, they do the most ridiculously minuscule amount of training for what their job is.",128
195,"So as you know, I was in the SEAL teams, we would train for 18 months, 18 months, we would train to go on a six month deployment.",129
196,"Cops, they train, they get like two hours or four hours of combative training, a year, a year.",94
197,That's complete insanity.,25
198,It's complete insanity.,23
199,"The thing I've been saying is, cops should train one fifth of the time.",71
200,"One fifth of the time, you should be training whether it's two hours a day, four times a week or whether it's one day a week where you're going to go and you're going to go through scenarios.",191
201,You're going to do combatives.,30
202,You're going to work with Simunition.,37
203,You're going to do de-escalation drills because it's really hard.,65
204,"I mean, being a cop is, I think, the hardest job in the world.",62
205,"And by the way, they're not going to have to worry about defunding the police because no one's going to want to be a cop anymore.",129
206,Who is going to be fired up to be a cop right now?,50
207,"Who's going to think, you know what?",36
208,"When I grow up, I want to be hated by a massive portion of the country.",71
209,I want to be viewed as someone that kills innocent people.,58
210,The recruiting in cop for police is going to go down so hard.,61
211,It's going to be ridiculous.,28
212,It's going to be ridiculous.,28
213,And then who are you getting there?,35
214,You're going to get people that are worse level people.,55
215,Worse level humans are going to show up to be cops.,51
216,"So the training piece though, they should do very, very scenario driven training, right?",88
217,Where you come into a room and this isn't like super expensive stuff either.,76
218,You come into a room.,21
219,There's a person there.,23
220,They appear to be compliant.,28
221,"You ask, you learn how to talk to them.",39
222,"You very quickly learn that instead of yelling them out of the gate, you say, hey, man, what's going on?",104
223,"Hey, what's your name?",22
224,"You know, what's going on?",26
225,We got a call here is everything okay.,38
226,You immediately de-escalate.,28
227,"Then you learn what to do when they're not, when they don't respond the way you want them to respond.",101
228,Then you learn what to do when they start to do something drastic.,66
229,What's the best thing for you?,30
230,And you play through these scenarios.,37
231,It's just like Jiu-Jitsu.,25
232,"In the fact that what makes Jiu-Jitsu good, what makes Jiu-Jitsu good is we can go hard against each other over and over again and not really get hurt, not really get killed.",174
233,So you get really good at it.,29
234,That's what you need to do in training for police.,50
235,You need to go through these tough scenarios over and over again because you do get better at it.,97
236,You do get better at it.,24
237,"You become, you learn how to mentally detach and not get emotional and realize that there's other things that are happening.",124
238,"When you see the George Floyd case, a couple of the other cops too.",67
239,"I think two of the other guys were complete rookies, right?",59
240,They'd been on the force for a very short period of time.,57
241,No one in that group before.,28
242,"Obviously, you got the killer himself.",38
243,He's actually conducting the act.,33
244,But all the other guys are not paying attention.,48
245,They're all emotional themselves.,33
246,"Hey, stay back.",15
247,"And they're probably watching him say, what's the, why is that guy moving?",74
248,And they're just caught up in it.,33
249,"Whereas if someone were to show it up on the scene or one of those guys had been through some good training in their life, they would have said, what's happening here?",167
250,Hold on.,8
251,My partner over there has been on this guy for two minutes.,59
252,He's not moving anymore.,24
253,"I'm going to walk over and say, hey, man, let me take over.",59
254,I got this.,11
255,Go over there.,14
256,Decompress.,11
257,This takes training.,20
258,You have to train people.,25
259,"And I got, I saw this over and over again in the SEAL teams training guys.",74
260,"You get a young kid that's coming through training for the first time and they go into a room and they're getting shot with Simu Nishin bullets or they're someone yelling and screaming or they, we put, we put Arabic women coming, walking out of rooms.",251
261,We'd have people get blown up with wounds.,42
262,We would do this to them over and over again.,45
263,"So they realized, okay, I just got to relax.",44
264,I got to take a step back.,26
265,"I got to detach from this situation so I can process what's happening and I can make a good decision because as I said earlier, no one is making a good decision when they're panicked, when they're freaked out, when they're scared.",230
266,"As a Jiu Jitsu guy, when someone puts hands on you, you're not actually scared, right?",86
267,"You're like, oh, okay, I know what to do here.",46
268,"If you don't know Jiu Jitsu, if you've never had someone grab you before or you haven't had someone grab you in 17 months or 14 months, no one's laid hands on you because you've got a badge and a gun.",200
269,"So people, when you tell them to do something, 95% of time, they go, okay, I don't want to get in trouble, but then somebody grabs you.",135
270,"You're instantly, your emotions are spiked, you're adrenaline spiked and the only way to overcome that is through consistent training that happens on a regular basis.",166
271,You can't just train somebody one time.,39
272,It's like ring rust.,20
273,"You can't just train somebody one time and, oh, now I don't need a training anymore.",84
274,"No, you need to do continuous training.",39
275,"So that fact right there, if we want to help the police through these situations, we need to invest more money into them.",121
276,We need to get them better training.,36
277,We need to pull them out of the field to train and pull them out of the field to decompress because you ever done a ride along?,127
278,No.,3
279,"Whether you're doing a ride along, whether you're going into any situation where you're thinking you could be killed and even if it's just a remote chance, but you're doing that all the time, all the time and you're here and you're seeing on the news, you're, oh, you're here.",276
280,"Your buddy got shot, your buddy got whatever.",45
281,"This other guy got, you know, taken his gun, taken away.",56
282,Like that stuff happens.,24
283,That stuff happens.,19
284,People get killed.,18
285,"I mean, there's been, I think there's been 31 cops killed this year, 31 cops killed this year.",94
286,"And a lot of those, that's not including, you know, like a car accident or COVID, there's been a bunch of either COVID, but just people that have been engaged with bad guys and they got killed.",193
287,So you're a cop.,16
288,"When another cop gets killed, you're thinking that could be you.",64
289,So that's your mindset and that mindset builds and that mindset builds and you're working 10 hour days and you're working 12 hour days and there's no training and there's no breaks.,181
290,Where do you end up?,20
291,Right?,6
292,You end up being a little bit paranoid.,39
293,You end up being a little bit angry.,36
294,What happens when you get in a fight with your wife?,52
295,"You know, it's like all these things, you add them together.",60
296,"It's a freaking hard job and from a, from a, like an entire systemic way of training and recruiting and, and keeping police ready to do their job, whatever that job entails.",173
297,"Because let's face it, most of the time that in job entails, well, I guess most of the time it entails, hey, I'm going to go have a bad, I'm about to go have a bad relationship with another human being.",202
298,"That's what's about to happen, right?",37
299,"Whether I'm pulling you over, whether I'm, I've been called to your house because you were yelling and screaming and people heard your wife screaming or whatever, that's what's happening.",187
300,I'm showing up in a bad relationship.,37
301,You don't like me and I already don't like you.,47
302,That's where we start.,22
303,That's where we start.,22
304,So we got to train people for that.,35
305,"We also got to train them for all the times that they go into, help people, save people.",88
306,"The first people on the scene at Car Accents, people are bleeding out.",70
307,We got to train them for that.,30
308,"And then they have to also be trained for, hey, this is a bad guy that's going to, this is the guy that you just talked about at a gas station with a weapon that wants to kill a bunch of people.",194
309,You got to be prepared for that whole spectrum as a police officer.,67
310,And yet we send them to a three month long police academy and then we send them out in the street.,98
311,And that's what they do.,24
312,"Day in, day out, day in, day out.",33
313,It seems to me that they need to be vetted too.,47
314,Much better than they are now.,30
315,Just like the seals.,20
316,Like you can't get through buds unless you are a superior human being.,70
317,You have to be able to tolerate a bunch of shit that most people are going to fall apart during.,96
318,"And this is, this seems to me that there's a great way to weed out people that just don't have it.",98
319,"Yeah, there's, well, one thing that's interesting, just from a physical perspective, most police departments don't even have a minimum physical requirement to continue to be on the force.",187
320,"You have to be at a certain level to graduate from the academies, but oftentimes there's no standard beyond that.",113
321,"Yeah, I've seen cops before that we're like, this is hilarious.",63
322,Like what is going to stop someone from closing the distance on you?,68
323,"Like you, you're again to that gun.",35
324,Yep.,4
325,But the mental aspect is stuff that you can get better at.,58
326,"You can get better at it, but you only get better at it through training.",73
327,And you only get really comfortable through training a lot.,59
328,And yet we put these people in these horrible positions over and over and over again.,85
329,"And we get, we don't give them the proper training.",51
330,"And now there's these politicians that because of the current social climate, they're encouraged to want to defund the police.",126
331,That's a great way for them to get brownie points from their constituents.,74
332,"The people want the police to fund it, which is the dumbest idea I've ever heard of my life.",92
333,It's so crazy that this is actually gaining steam to the point where it in Minneapolis because they're trying to quiet down the mob.,132
334,They've actually gone ahead and done it.,40
335,What the fuck is Minneapolis going to look like in a year from now?,67
336,It's going to look like Mad Max.,32
337,"I mean, it's going to be crazy.",31
338,That's going to be crazy.,25
339,"It's going to be, you know, criminals will go there to commit crimes.",69
340,"If there's no, if there's no police there, are you crazy?",57
341,"By the way, it's Jocco Energy Drink is the shit.",48
342,That's very legit.,18
343,Right.,6
344,I don't understand where they think this game ends.,51
345,I don't think they've planned it out.,37
346,They're not playing chess.,26
347,The other thing that you're talking about this brownie points for the politicians and there's brownie points and there's people trying to create sides.,151
348,It's my side versus your side.,30
349,"And that's a completely political thing, right?",47
350,And all that does is increase the divide between the police and the civilians.,78
351,"And this reminds me a lot of a counterinsurgency, right?",56
352,"So counterinsurgency, the insurgents are bad guys inside of a country.",70
353,The country's not bad.,22
354,There's some bad guys in a country.,35
355,So what you have to do is you actually have to go out and build relationships with the good people inside that country so that the good people inside that country can help you get rid of the bad people.,202
356,"What happens if you go out and so this is Ramadi Iraq, my last deployment to Iraq, there's a bunch of just totally normal good people, Iraqi people that are living in the city of Ramadi.",186
357,What do they want to do?,24
358,You know what they want to do?,30
359,They want to send their kids to school.,39
360,They want to run their little market.,37
361,"They want to do whatever they do, that's what they want to do.",62
362,They have the same goal as a normal family.,43
363,They're just a normal bunch of people.,38
364,"And inside that group of people, there's a bunch of bad people.",63
365,And these are insurgents.,25
366,Some of them are foreign fighters.,34
367,"Some of them are foreign regime elements from Saddam, but they're bad.",70
368,And they want to create chaos and mayhem.,41
369,"So Americans, we go in there.",29
370,"If we go in there, super heavy handed.",38
371,"And while I go to capture or kill one bad guy, I kill or name a couple of those normal civilians.",97
372,What happens?,13
373,"Well, a couple of those normal civilians family go, wait, you guys aren't good.",79
374,You guys are bad.,17
375,You guys just killed my brother and he didn't do anything wrong.,64
376,And then we do it again.,24
377,And then we do it again.,24
378,And then we do it again.,24
379,"And each time that we do this, we're creating more animosity from the local populace, who by the way, like I said, they're just good normal people.",147
380,So what we had to do is really focus on going out and building relationships with the local populace.,101
381,How do we do that?,18
382,"And one of the things, this happened after I left, but you remember the surge that took plays and they sent a bunch more troops over there?",139
383,Part of the reason that they sent that surge and part of the reason that that was allowed to happen was because the battle of Ramadi where I fought went very well.,163
384,"And since it went well, people said, well, maybe we can pull this off.",70
385,So they sent more troops.,25
386,And one of the directives that General Petreus gave is he said there can be no more drive-by counterinsurgency.,111
387,"And what he meant by that was when you go to a neighborhood, you can't just drive through the neighborhood in your home, the bulletproof home, with your windows up, drive through, show a force, and then leave.",209
388,That doesn't work.,18
389,What you have to do is stop your vehicles.,42
390,You have to get out.,20
391,You have to talk to the local populace.,39
392,You have to ask them what's going on.,37
393,You have to ask them if they need anything.,43
394,"You have to build relationships with the local populace, the good local populace that just wants those insurgents out of there.",127
395,And that's what I don't see happening.,38
396,"And the more we increase this divide between the police and the civilians, the worse that's going to get.",105
397,"And so the police have to start doing a better job of outreach of, hey, you know, I asked you if you did a ride along.",118
398,"They should be offering ride longs all the time till the local kids, 17 year old kids, 15 year old kids.",104
399,"Hey, come and see what my job is like.",38
400,Come and help me out.,21
401,"That 15 year old kid, he knows who the bad actors are.",54
402,He knows who the good kids are.,31
403,"You know, bring that kid along on a ride along.",47
404,Let him see what it looks like from your ankle.,47
405,"Get out, meet the parents, meet the families.",45
406,That's where we're failing to build relationships between the police and the civilians.,87
407,And that causes these problems.,31
408,"I think you're 100% correct, but I don't hear anybody repeating what you're saying.",83
409,That's what's terrifying to me.,31
410,I think everything you're saying is logical.,44
411,It makes sense.,15
412,It comes from experience.,25
413,I don't hear anybody saying this.,33
414,Yeah.,5
415,"And I, well, I think maybe it's because people just don't recognize what's happening because they're too in it, right?",118
416,They're too in it.,18
417,They're wrapped up in it.,25
418,And that's another part.,24
419,"You know, I talked about recruiting.",36
420,Who are you recruiting?,23
421,"Those kids recruit those kids, but you have to build a relationship with them before you can add before anyone's going to go into the police.",141
422,"And look, I think it's the LA police department.",48
423,"If you look at the LA police department, compared to the racial makeup of LA, they, they're pretty equivalent.",110
424,And they're pretty equivalent on purpose.,41
425,They do that for a reason.,26
426,So you got to get that.,23
427,You got to continue to build that those relationships so that we talk to one another.,85
428,"You know, we actually communicate with each other because any time, you know, I'm allowed to sit over here in my area and you're sitting over there in your area.",161
429,We're building animosity.,25
430,We build that kind of animosity between each other.,51
431,"And now the littlest thing, the littlest thing.",47
432,"I mean, there was a woman that was killed in Minneapolis two, three years ago.",78
433,Do you remember this one?,25
434,Yes.,4
435,Female.,7
436,"A yoga instructor called the police, called the police to report a disturbance.",79
437,"We showed up and there's no video, no footage.",46
438,She gets killed by the cops.,28
439,She gets killed by the cops.,28
440,It's insane that these things happen.,37
441,"But we also have to remember what, like I said, what is a police officer thinking about?",88
442,And what kind of training and we give them?,43
443,And what kind of psychological screening to your point?,55
444,What kind of strike?,20
445,And it's not just one time psychological screening because guess what?,70
446,We'll get burnt out and it happens at different times to different people.,74
447,You take 35 guys in combat.,27
448,I've got some guys at the end of a six month deployment there.,62
449,You know what they're telling me?,33
450,Can I stay longer?,18
451,I'm doing fine.,15
452,You get one month under that deployment.,40
453,"You've got other guys that are saying, hey, do you need anyone to head home early?",82
454,Right?,6
455,That happens.,13
456,"So you think in a police force of a thousand people or whatever size your police force is, you're going to have some people that are steady, mentally stable.",157
457,They can deal with it.,22
458,They can go.,12
459,They can be in an officer-involved shooting today.,50
460,And tomorrow they can go back to their job and be perfectly fine.,65
461,There's other people they can never work again after they're in an officer-involved shooting.,93
462,What kind of investment are we making into this psychological health of police?,79
463,"And look, I hope it doesn't sound like I'm sitting here just putting it all on the police because everyone is playing a role in this.",133
464,And one of the things that you need to look at as well is how to get arrested.,78
465,Right?,6
466,There should be a public service course on how you should get arrested.,71
467,This is what you should do.,27
468,If the cops are pulling you over.,33
469,"If the cops ask you, if the cops approach you about something, here's what you should think.",92
470,"One of the things you should think is, okay, this cop may not be bad.",69
471,This cop may be looking out for my welfare right now.,53
472,That's a great hopeful thought.,31
473,The other thing that you have to think is kind of worst-case scenario.,70
474,This cop might be agitated.,27
475,This cop might be looking for somebody that fits my description.,64
476,This cop might have just been in a fight with his wife.,55
477,He might have just lost a part of it.,37
478,There's a million bad things.,29
479,Use that scenario in your head.,31
480,Use that scenario in your head to contemplate how you're going to interact with a police officer.,97
481,"Which is, you know what they're looking at?",43
482,They're looking at your hands.,30
483,You know why?,13
484,Because that's where the threat comes from.,43
485,The threat comes from your hands.,33
486,"So when you're making quick movement with your hands, don't do that.",68
487,Listen to what they say.,24
488,Move slowly when you move.,26
489,This should be public service.,30
490,"The police should be putting out, hey, if you interact with the police, we hate to have to say this.",100
491,"But since our police sometimes are in bad situations, here's some things we recommend and we highly suggest and we beg.",119
492,We beg that you do this.,24
493,We beg because what happens to these cops when they kill somebody?,66
494,What happens to them?,21
495,Their lives are totally destroyed.,34
496,"Well, that was the thing about that guy in Minneapolis.",55
497,He'd already killed people.,27
498,He'd already been involved and I think it's at least two shootings and he had more than a dozen complaints against him.,119
499,Yeah.,5
500,Not good.,9
501,Not good.,9
502,"I mean, it's obvious by the end by the end result.",50
503,That's the type of guy he was.,30
504,It's pretty obvious by the fact that he was able to do that to a man.,69
505,The guy's literally calling out to his dead mother.,51
506,"You know, I mean, the type of man that can stay on someone's neck while they're doing that when all that guy did was have a counterfeit $20 bill.",145
507,That's it.,10
508,"This is where when you talk about psychological screening and that's why I'm saying it has to be constant because people, people change, right?",143
509,And red flags.,14
510,"I mean, like you said, hindsight's 2020, we're looking at this case.",68
511,"Now we're going, oh, who the hell lets this guy continue to police?",67
512,"And by the way, interestingly enough, if you talk to internal affairs at police departments, the vast majority of the complaints that they get about other about police are from police.",184
513,"So they come, they report each other.",37
514,That's little known fact.,25
515,"Most of the most of the reports don't come from the civilians out there saying, hey, this happened or that happened.",116
516,"Most of the time it's cops saying, hey, this guy was out of line here.",70
517,"Well, that's, that's a good sign.",33
518,"This, it just, it doesn't look rosy when I'm looking at the future.",67
519,"I don't, I don't see a way during this climate.",47
520,"Well, what scares me the most is I don't see a way if we don't talk to each other.",82
521,That's where there's no solution.,33
522,"Because you know, look, for every 10 viral video that you see of a, of a cop hitting somebody with a baton or a ride or throwing something through a window for every 10 of those viral videos, there's another viral video that has, you know, the guy with the free hugs t-shirt on that's out talking to the cops and saying, hey, you know, I get it and they're communicating with each other and talking.",399
523,"And when you communicate with, it's, it's just like a hostage rescue basic technique.",85
524,You want to humanize.,21
525,You want to humanize instead of dehumanize.,43
526,And right now we're just dehumanizing each other completely.,60
527,And that's what scares me more than anything else is if we can't talk to each other.,84
528,"Because look, you take the most hardened soldier in war, some, you know, some badass soldier that's done four deployments, six deployments, whatever.",149
529,"And you put him into a room with a kid in a mom, an Iraqi kid in a mom or an Afghan kid in a mom.",97
530,"And you put him in that room and say, hey, sit here for 15 minutes and find out what they're about.",99
531,Here's an interpreter.,22
532,"That guy's going to come out of there going, yeah, I get where they're coming from.",83
533,And same thing vice versa.,26
534,"You take a hardened jihadist and you say, hey, talk to this guy over here about what he's trying to do inside your country.",123
535,"Well, just, just talk to him.",29
536,When you open up the communications and are you going to get some extremists on both ends?,90
537,"Yes, you will.",14
538,"So maybe I shouldn't have said the most hardened soldier in the most hardened, because that, you know, what the most hardened soldier becomes a killer, becomes a killer.",169
539,That happens.,13
540,Happens all the time.,21
541,"You know, I, I shouldn't say it happens all time.",49
542,It happens from time to time.,29
543,"That's how you get the me, lie, massacre.",41
544,It happens.,11
545,"The, the most hardened jihadist, they're not going to change their mind.",72
546,"They're not going to come to any, any rose colored view of America.",67
547,"But barring those total extremes, you've got people.",52
548,"You got you, other human beings.",32
549,"And if you can get them to talk to each other, they can find consensus.",71
550,They can find common ground.,28
551,"But if they're not talking to each other, then we don't move it, make any progress.",83
552,"And what, to your whole kind of point about what's happening right now, there's less and less communication between people, open communication.",143
553,"Because if you, if you talk to someone and they say, the cops did this, this and this.",86
554,"And you say, oh, okay, explain to me what happened.",51
555,Tell me what went down.,23
556,"And then you say, hey, let me tell you what it's like for, for a cop being a cop when he sees that, when he sees something going on.",132
557,How many domestic violence cases happened and the person shows up and they're getting assaulted by both parties.,112
558,"So maybe that's what you're this comp was thinking when he showed up and saw your mom in this situation and did this to your dad, right?",136
559,"Like this is real conversations, but we don't, we don't have them.",66
560,"And not only we don't have them, it seems like it seems like there's forces that are actively trying to prevent us from talking to each other, from sitting down at a table and saying, hey, man, what, tell me what's going on?",224
561,What forces?,12
562,"Who wants, who wants the country to be divided?",47
563,"It's the people that you're talking about earlier that, that, how do they score points?",87
564,How do I score points with this group?,38
565,How do I score points with the other group?,43
566,"It's by making, making everything as divisive as possible.",58
567,"It's, it's, it's horrible to watch, man.",40
568,It's sickening to watch.,24
569,"I was reading a whole series of tweets where there's a journalist that was talking about how cops shooting black men is a real problem, but another real problem that's not being discussed by this black lives matter group is black on black crime.",245
570,And how do we stop all the murders that are taking place in Chicago?,68
571,And this is something that should be discussed.,47
572,And this guy was getting attacked.,34
573,"And one of the, another journalist is literally tweeting at him saying, you have been told not to discuss this.",111
574,"But yet he ignores the, these commands that, that he should not discuss is a very real issue.",93
575,"The, as if somehow or another bringing up another issue that is also a problem diminishes the original issue of this guy getting killed by cops, which, of course, it doesn't.",174
576,Yeah.,5
577,"But this, the idea is that there's problems, there's real problems.",67
578,It's not just the cops killing these people.,44
579,"There's, there's, look, the cop killed this guy in Minneapolis.",63
580,He didn't do anything in Seattle.,33
581,How the fuck did that shit happen in Seattle?,45
582,"Well, it happened in Seattle because of this reactionary world where, where one person does something somewhere, it gets through social media, it gets through the mainstream media.",180
583,"It becomes this, this huge inflammatory subject.",48
584,"And then the next thing you know, windows are getting smashed, things are getting lit on fire, cars are getting turned over, blocks are getting taken.",150
585,And that's what we find ourselves.,34
586,I think it was May 29.,22
587,There was a cop killed.,23
588,"I want to say in Texas, and he was killed when they rolled into a scene.",72
589,"They got, they got a call, hey, suspicious person running through the neighborhood.",83
590,They roll up on the scene.,26
591,"They start a couple, a few cops are now searching for this guy and they see a building with an open door.",105
592,"They go, okay, let's, that maybe he's in there.",47
593,Let's go clear this building with an open door.,47
