title,index,content,token
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",0," battle not with monsters, lest ye become a monster.",52
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",65,It's a self-similar structure.,30
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",66,It's a fractal structure.,25
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",67,And it's the tree of life.,26
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",68,And it's the tree of the knowledge of good and evil.,52
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",69,And the fire in it is the transformation that's always occurring within every structure.,88
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",70,And the fact that the fire doesn't consume the bush in that representation is an indication of the balance of transformation with structure.,140
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",71,And that balance is presented as God.,37
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",72,And what attracts Moses to it in some sense is the beauty.,58
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",73,"Now, it's the novelty and all that.",35
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",74,But a painting is like a burning bush.,38
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",75,"That's a good way of thinking about it, a great painting.",57
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",76,It's too much for people often.,31
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",77,My house was and will soon be again completely covered with paintings inside.,77
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",78,"And it was hard on people to come in there because, well, my mother, for example, say, well, why would you want to live in a museum?",132
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",79,"And I think, well, I would rather live in a museum than anywhere else in some real sense.",89
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",80,But beauty is daunting.,23
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",81,It scares people.,17
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",82,"They're terrified of buying art, for example, because their taste is on display.",80
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",83,And they should be terrified because generally people have terrible taste.,74
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",84,"Now, that doesn't mean they shouldn't foster it and develop it.",63
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",85,"But and you know, when you put your taste on display, it's a real, it really exposes you.",89
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",86,Even to yourself as you walk past it every day.,47
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",87,Absolutely.,11
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",88,I am.,5
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",89,Yeah.,5
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",90,"Well, and look how mundane that is and look how trite it is and look at how cliched it is and look at how sterile or too ordered it is or too chaotic or how quickly you start to take it for granted because you've seen it so many times.",235
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",91,"Well, if it's a real piece of art, that doesn't happen.",55
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",92,You notice the little details.,30
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",93,The whole is greater than the sum of the parts.,47
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",94,"I mean, there are images, religious images in particular.",57
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",95,"So we could call them deep images that people have been unpacking for four thousand years and still have an, I'll give you an example.",134
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",96,This is a terrible example.,27
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",97,So I did a lecture series on Genesis.,37
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",98,"And I got a lot of it unpacked, but by no means all of it.",58
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",99,"When God kicks Adam and Eve out of the Garden of Eden, he puts cherubim with flaming swords at the gate to stop human beings from reentering paradise.",150
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",100,"I thought, what the hell does that mean?",40
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",101,Cherubim.,9
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",102,And why do they have flaming swords?,36
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",103,I don't get that.,17
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",104,What is that exactly?,21
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",105,"And then I found out from Matthew Pazzo, who wrote a great book on symbolism in Genesis, that cherubim are the supporting monsters of God.",138
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",106,It's a very complicated idea.,29
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",107,"And that they're partly a representation of that, which is difficult to fit into conceptual systems.",100
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",108,They've also got an angelic or demonic aspect.,46
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",109,Take your pick.,15
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",110,Why do they have flaming swords?,32
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",111,"Well, a sword is a symbol of judgment and the separation of the wheat from the chaff.",85
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",112,"I use a sword to cut away, to cut away, and to carve.",53
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",113,"And a flaming sword is not only that, which carves, it's that, which burns.",75
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",114,And what is it carve away and burn?,35
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",115,"Well, you want to get into paradise?",36
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",116,It carves away everything about you that isn't perfect.,55
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",117,And so what does that mean?,27
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",118,"Okay, well, here's part of what it means.",41
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",119,This is a terrible thing.,25
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",120,So you could say that the entire Christian narrative is embedded in that image.,79
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",121,Why?,4
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",122,"Well, let's say that flaming swords are a symbol of death.",58
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",123,That seems pretty obvious.,26
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",124,Let's say further that there is a symbol of apocalypse and hell.,64
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",125,That doesn't seem completely unreasonable.,42
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",126,So here's an idea.,18
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",127,"Not only do you have to face death, you have to face death and hell before you can get to paradise, hellish judgment, and all that's embedded in that image.",156
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",128,And a piece of art with an image like that has all that information in it.,74
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",129,And it shines forth in some fundamental sense.,46
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",130,"It reaches into the back tendrils of your mind, at levels you can't even comprehend and grips you.",98
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",131,"I mean, that's why people go to museums and gaze at paintings.",62
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",132,They don't understand.,22
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",133,And that's why they'll pay what's the most expensive objects in the world.,74
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",134,"If it's not carbon fiber racing yachts, it's definitely classic paintings.",74
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",135,Right?,6
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",136,It's high level technological implements or it's classic art.,61
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",137,"Well, why are those things so expensive?",40
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",138,Why do we build temples to house the images?,44
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",139,Even secular people go to museums?,34
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",140,I'm secular.,12
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",141,"Well, are you in a museum?",26
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",142,Yes.,4
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",143,Are you looking at art?,23
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",144,Yes.,4
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",145,"Well, what makes you think you're secular then?",47
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",146,It's arguable that the thing many many centuries from now that will remain of all human civilization will be our art.,117
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",147,Not even the words.,19
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",148,"Well, you know, a book has remained a very long time, right?",60
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",149,The biblical not that long of humiliation.,42
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",150,That's right.,13
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",151,"But that's in the full arc of living organisms, perhaps will not.",65
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",152,"Well, we have images that are we have artistic images that are at least 50,000 years old, right?",96
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",153,That have survived.,19
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",154,And some of those are they're already profound in their symbolism.,66
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",155,By we do humans.,16
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",156,"Yeah, we found them.",20
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",157,"And and they've lasted, they've lasted that long.",49
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",158,And so and then think about Europe.,35
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",159,Seconder people all over the world make pilgrimages to Europe.,62
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",160,"Well, why?",10
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",161,Because of the beauty.,22
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",162,"Obviously, I mean, that's self evident.",39
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",163,And it's partly because there are things in Europe that are so beautiful.,73
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",164,"They take your breath away, right?",34
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",165,They make your hair stand on in.,32
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",166,They fill you with the sense of and and we need to see those things.,68
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",167,It's not optional.,18
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",168,We need to see those things.,28
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",169,The cathedrals was in a cathedral in Vienna.,44
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",170,And it was terribly beautiful.,30
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",171,"You know, terribly beautiful.",29
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",172,"Well, it was terribly beautiful.",32
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",173,Is beauty painful for you?,26
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",174,Is is that the highest form of beauty?,38
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",175,It really challenges you.,25
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",176,"Oh, definitely.",15
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",177,"Yeah, yeah, I got a good analysis of the statue of David.",57
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",178,"MacClaindtialist says, you could be far more than you are.",58
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",179,That's what that statue says.,29
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",180,"And this cathedral, you know, down we went down into the under structure of it.",79
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",181,And there were three floors of bones from the plague.,53
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",182,And there they all are.,23
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",183,And then that cathedral's on top of it.,39
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",184,It's no joke to go visit a place like that.,43
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",185,Now it's it rattlesy to the core.,33
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",186,And our our religious systems have become propositionally dubious.,66
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",187,"But there's no arguing with the architecture, although modern architects like to with their sterility and their giant middle fingers erected everywhere.",152
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",188,But beauty is a is a terrible pointer to God.,45
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",189,"And you know, a secular person will say, well, I don't believe in God.",70
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",190,It's like have it your way.,27
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",191,You got it.,11
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",192,You cannot move forward into the unforeseen horizon of the future except on faith.,82
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",193,"And you might say, well, I have no faith.",41
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",194,"It's like, well, good luck with the future then because what are you then nihilistic and hopeless and anxiety ridden?",117
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",195,"And if not, while something's guiding you forward, it's faith in something or multiple things, which just makes you a polytheist, which I wouldn't recommend.",157
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",196,"Well, let me ask you one short lived biological meatbag to another.",67
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",197,Who is God then?,16
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",198,Let's try to sneak up to this question if it's at all possible.,63
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",199,Is it possible to even talk about this?,39
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",200,"Well, better be because otherwise there's no communicating about it.",68
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",201,Right?,6
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",202,It has to be something that can be brought down to earth.,57
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",203,"Well, we might be too dumb to bring it down.",44
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",204,It's not just ignorant.,23
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",205,"It's also sinful, right?",24
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",206,So because there's not knowing and then there's wanting to know or refusing to know.,84
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",207,Yeah.,5
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",208,"And so you might say, well, could you extract God from a description of the objective world?",92
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",209,Right?,6
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",210,Is God just the ultimate unity of the natural reality?,54
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",211,"And I would say, well, in a sense, there's some truth in that, but but not exactly because God in the highest sense is the spirit that you must emulate in order to thrive.",171
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",212,How's that for a biological definition?,39
"Jordan Peterson: Life, Death, Power, Fame, and Meaning | Lex Fridman Podcast #313",213,Spirit is a pattern.,20
